budget_year,fund_type,department,branch,program,category,account_type,budget 
2022,Tax Supported,Urban Planning and Economy,Development Services,UPE/DEV - Planning Coordination and Operations,Fleet Services,Expenses,20551.00
2022,Tax Supported,Urban Planning and Economy,Development Services,UPE/DEV - Planning Coordination and Operations,Intra-municipal Charges,Expenses,12168981.00
2022,Tax Supported,Urban Planning and Economy,Development Services,UPE/DEV - Planning Coordination and Operations,Intra-municipal Recoveries,Expenses,-2495588.00
2022,Tax Supported,Urban Planning and Economy,Development Services,UPE/DEV - Planning Coordination and Operations,"Materials, Goods, and Supplies",Expenses,1168456.00
2022,Tax Supported,Urban Planning and Economy,Development Services,UPE/DEV - Planning Coordination and Operations,Personnel,Expenses,8689883.00
2022,Tax Supported,Urban Planning and Economy,Development Services,UPE/DEV - Planning Coordination and Operations,Transfer to Reserves,Expenses,3839882.00
2022,Tax Supported,Urban Planning and Economy,Development Services,UPE/DEV - Planning Coordination and Operations,Utilities & Other Charges,Expenses,1360639.00
2022,Tax Supported,Urban Planning and Economy,Development Services,"UPE/DEV - Safety Codes, Permits and Inspections",External Services,Expenses,2728154.00
2022,Tax Supported,Urban Planning and Economy,Development Services,"UPE/DEV - Safety Codes, Permits and Inspections",Intra-municipal Charges,Expenses,112886.00
2022,Tax Supported,Urban Planning and Economy,Development Services,"UPE/DEV - Safety Codes, Permits and Inspections","Materials, Goods, and Supplies",Expenses,49789.00
2022,Tax Supported,Urban Planning and Economy,Development Services,"UPE/DEV - Safety Codes, Permits and Inspections",Personnel,Expenses,14450615.00
2022,Tax Supported,Urban Planning and Economy,Development Services,"UPE/DEV - Safety Codes, Permits and Inspections",Utilities & Other Charges,Expenses,278068.00
2022,Tax Supported,Urban Planning and Economy,Development Services,UPE/DEV - Subdivision and Development Coordination,External Services,Expenses,32690.00
2022,Tax Supported,Urban Planning and Economy,Development Services,UPE/DEV - Subdivision and Development Coordination,Fleet Services,Expenses,12539.00
2022,Tax Supported,Urban Planning and Economy,Development Services,UPE/DEV - Subdivision and Development Coordination,Intra-municipal Charges,Expenses,-484115.00
2022,Tax Supported,Urban Planning and Economy,Development Services,UPE/DEV - Subdivision and Development Coordination,"Materials, Goods, and Supplies",Expenses,129262.00
2022,Tax Supported,Urban Planning and Economy,Development Services,UPE/DEV - Subdivision and Development Coordination,Personnel,Expenses,11581398.00
2022,Tax Supported,Urban Planning and Economy,Development Services,UPE/DEV - Subdivision and Development Coordination,Utilities & Other Charges,Expenses,11360146.00
2022,Tax Supported,Urban Planning and Economy,Economic Investment Services,UPE/EIS - Local Economy and Investment Services,External Services,Expenses,229449.00
2022,Tax Supported,Urban Planning and Economy,Economic Investment Services,UPE/EIS - Local Economy and Investment Services,Intra-municipal Charges,Expenses,84625.00
2022,Tax Supported,Urban Planning and Economy,Economic Investment Services,UPE/EIS - Local Economy and Investment Services,Intra-municipal Recoveries,Expenses,-200000.00
2022,Tax Supported,Urban Planning and Economy,Economic Investment Services,UPE/EIS - Local Economy and Investment Services,"Materials, Goods, and Supplies",Expenses,101905.00
2022,Tax Supported,Urban Planning and Economy,Economic Investment Services,UPE/EIS - Local Economy and Investment Services,Personnel,Expenses,2818716.00
2022,Tax Supported,Urban Planning and Economy,Economic Investment Services,UPE/EIS - Local Economy and Investment Services,Utilities & Other Charges,Expenses,10905793.00
2022,Tax Supported,Urban Planning and Economy,Economic Investment Services,UPE/EIS - Regional Development,External Services,Expenses,147572.00
2022,Tax Supported,Urban Planning and Economy,Economic Investment Services,UPE/EIS - Regional Development,Intra-municipal Charges,Expenses,18100.00
2022,Tax Supported,Urban Planning and Economy,Economic Investment Services,UPE/EIS - Regional Development,Personnel,Expenses,1712981.00
2022,Tax Supported,Urban Planning and Economy,Economic Investment Services,UPE/EIS - Regional Development,Transfer to Reserves,Expenses,530000.00
2022,Tax Supported,Urban Planning and Economy,Economic Investment Services,UPE/EIS - Regional Development,Utilities & Other Charges,Expenses,3985637.00
2022,Tax Supported,Urban Planning and Economy,Economic Investment Services,UPE/EIS - Strategic and Emerging Investment,External Services,Expenses,530570.00
2022,Tax Supported,Urban Planning and Economy,Economic Investment Services,UPE/EIS - Strategic and Emerging Investment,Intra-municipal Charges,Expenses,3780.00
2022,Tax Supported,Urban Planning and Economy,Economic Investment Services,UPE/EIS - Strategic and Emerging Investment,"Materials, Goods, and Supplies",Expenses,21762.00
2022,Tax Supported,Urban Planning and Economy,Economic Investment Services,UPE/EIS - Strategic and Emerging Investment,Personnel,Expenses,493790.00
2022,Tax Supported,Urban Planning and Economy,Economic Investment Services,UPE/EIS - Strategic and Emerging Investment,Transfer to Reserves,Expenses,779000.00
2022,Tax Supported,Urban Planning and Economy,Economic Investment Services,UPE/EIS - Strategic and Emerging Investment,Utilities & Other Charges,Expenses,11289560.00
2022,Tax Supported,Urban Planning and Economy,Planning and Environment Services,UPE/PLA - Environment and Climate Resilience,External Services,Expenses,7540713.00
2022,Tax Supported,Urban Planning and Economy,Planning and Environment Services,UPE/PLA - Environment and Climate Resilience,Intra-municipal Charges,Expenses,3120.00
2022,Tax Supported,Urban Planning and Economy,Planning and Environment Services,UPE/PLA - Environment and Climate Resilience,Intra-municipal Recoveries,Expenses,-406924.00
2022,Tax Supported,Urban Planning and Economy,Planning and Environment Services,UPE/PLA - Environment and Climate Resilience,"Materials, Goods, and Supplies",Expenses,49639.00
2022,Tax Supported,Urban Planning and Economy,Planning and Environment Services,UPE/PLA - Environment and Climate Resilience,Personnel,Expenses,5367298.00
2022,Tax Supported,Urban Planning and Economy,Planning and Environment Services,UPE/PLA - Environment and Climate Resilience,Utilities & Other Charges,Expenses,10661473.00
2022,Tax Supported,Urban Planning and Economy,Planning and Environment Services,UPE/PLA - Urban Growth and Open Space,External Services,Expenses,1106206.00
2022,Tax Supported,Urban Planning and Economy,Planning and Environment Services,UPE/PLA - Urban Growth and Open Space,Intra-municipal Charges,Expenses,362791.00
2022,Tax Supported,Urban Planning and Economy,Planning and Environment Services,UPE/PLA - Urban Growth and Open Space,Intra-municipal Recoveries,Expenses,-2057718.00
2022,Tax Supported,Urban Planning and Economy,Planning and Environment Services,UPE/PLA - Urban Growth and Open Space,"Materials, Goods, and Supplies",Expenses,706519.00
2022,Tax Supported,Urban Planning and Economy,Planning and Environment Services,UPE/PLA - Urban Growth and Open Space,Personnel,Expenses,9509161.00
2022,Tax Supported,Urban Planning and Economy,Planning and Environment Services,UPE/PLA - Urban Growth and Open Space,Transfer to Reserves,Expenses,18796021.00
2022,Tax Supported,Urban Planning and Economy,Planning and Environment Services,UPE/PLA - Urban Growth and Open Space,Utilities & Other Charges,Expenses,13758093.00
2022,Tax Supported,Urban Planning and Economy,Planning and Environment Services,UPE/PLA - Urban Strategies,External Services,Expenses,1168913.00
2022,Tax Supported,Urban Planning and Economy,Planning and Environment Services,UPE/PLA - Urban Strategies,Intra-municipal Charges,Expenses,30600.00
2022,Tax Supported,Urban Planning and Economy,Planning and Environment Services,UPE/PLA - Urban Strategies,Intra-municipal Recoveries,Expenses,-139486.00
2022,Tax Supported,Urban Planning and Economy,Planning and Environment Services,UPE/PLA - Urban Strategies,"Materials, Goods, and Supplies",Expenses,1050.00
2022,Tax Supported,Urban Planning and Economy,Planning and Environment Services,UPE/PLA - Urban Strategies,Personnel,Expenses,3796518.00
2022,Tax Supported,Urban Planning and Economy,Planning and Environment Services,UPE/PLA - Urban Strategies,Utilities & Other Charges,Expenses,2240584.00
2022,Utilities,Utilities,Blatchford Renewable Energy Utility,UTIL/BREU - District Energy Sharing System (DESS),External Services,Expenses,358264.00
2022,Utilities,Utilities,Blatchford Renewable Energy Utility,UTIL/BREU - District Energy Sharing System (DESS),Intra-municipal Charges,Expenses,758963.00
2022,Utilities,Utilities,Blatchford Renewable Energy Utility,UTIL/BREU - District Energy Sharing System (DESS),"Materials, Goods, and Supplies",Expenses,6102.00
2022,Utilities,Utilities,Blatchford Renewable Energy Utility,UTIL/BREU - District Energy Sharing System (DESS),Utilities & Other Charges,Expenses,1181172.00
2022,Utilities,Utilities,Waste Services,UTIL/WS - Collection Services,External Services,Expenses,202270.00
2022,Utilities,Utilities,Waste Services,UTIL/WS - Collection Services,Fleet Services,Expenses,7079923.00
2022,Utilities,Utilities,Waste Services,UTIL/WS - Collection Services,Intra-municipal Charges,Expenses,-2787641.00
2022,Utilities,Utilities,Waste Services,UTIL/WS - Collection Services,Intra-municipal Recoveries,Expenses,724918.00
2022,Utilities,Utilities,Waste Services,UTIL/WS - Collection Services,"Materials, Goods, and Supplies",Expenses,1443831.00
2022,Utilities,Utilities,Waste Services,UTIL/WS - Collection Services,Personnel,Expenses,21747387.00
2022,Utilities,Utilities,Waste Services,UTIL/WS - Collection Services,Utilities & Other Charges,Expenses,11671358.00
2022,Utilities,Utilities,Waste Services,UTIL/WS - Processing and Disposal Services,External Services,Expenses,53031758.00
2022,Utilities,Utilities,Waste Services,UTIL/WS - Processing and Disposal Services,Fleet Services,Expenses,8646454.00
2022,Utilities,Utilities,Waste Services,UTIL/WS - Processing and Disposal Services,Intra-municipal Charges,Expenses,23024505.00
2022,Utilities,Utilities,Waste Services,UTIL/WS - Processing and Disposal Services,Intra-municipal Recoveries,Expenses,-12128111.00
2022,Utilities,Utilities,Waste Services,UTIL/WS - Processing and Disposal Services,"Materials, Goods, and Supplies",Expenses,2350475.00
2022,Utilities,Utilities,Waste Services,UTIL/WS - Processing and Disposal Services,Personnel,Expenses,29212757.00
2022,Utilities,Utilities,Waste Services,UTIL/WS - Processing and Disposal Services,Utilities & Other Charges,Expenses,29958688.00
2023,Tax Supported,Boards and Commissions,Arts Council,Arts Council,Utilities and Other Charges,Expense,17965000.00
2023,Tax Supported,Boards and Commissions,Combative Sports Commission,Combative Sports Commission,External Services,Expense,19000.00
2023,Tax Supported,Boards and Commissions,Combative Sports Commission,Combative Sports Commission,Intra-municipal Charges,Expense,0.00
2023,Tax Supported,Boards and Commissions,Combative Sports Commission,Combative Sports Commission,"Materials, Goods, and Supplies",Expense,4000.00
2023,Tax Supported,Boards and Commissions,Combative Sports Commission,Combative Sports Commission,Utilities and Other Charges,Expense,22000.00
2023,Tax Supported,Boards and Commissions,Edmonton Unlimited,Edmonton Unlimited,External Services,Expense,6642000.00
2023,Tax Supported,Boards and Commissions,Edmonton Unlimited,Edmonton Unlimited,Personnel,Expense,3636000.00
2023,Tax Supported,Boards and Commissions,Edmonton Unlimited,Edmonton Unlimited,Utilities and Other Charges,Expense,267000.00
2023,Tax Supported,Boards and Commissions,Explore Edmonton,Explore Edmonton,External Services,Expense,24162000.00
2023,Tax Supported,Boards and Commissions,Explore Edmonton,Explore Edmonton,FTEs Only,Expense,0.00
2023,Tax Supported,Boards and Commissions,Explore Edmonton,Explore Edmonton,"Materials, Goods, and Supplies",Expense,2477000.00
2023,Tax Supported,Boards and Commissions,Explore Edmonton,Explore Edmonton,Personnel,Expense,28594000.00
2023,Tax Supported,Boards and Commissions,Explore Edmonton,Explore Edmonton,Utilities and Other Charges,Expense,3510000.00
2023,Tax Supported,Boards and Commissions,Federation of Community Leagues,Federation of Community Leagues,Utilities and Other Charges,Expense,6237000.00
2023,Tax Supported,Boards and Commissions,Fort Edmonton Park,Fort Edmonton Park,External Services,Expense,1842000.00
2023,Tax Supported,Boards and Commissions,Fort Edmonton Park,Fort Edmonton Park,Fleet Services,Expense,81000.00
2023,Tax Supported,Boards and Commissions,Fort Edmonton Park,Fort Edmonton Park,FTEs Only,Expense,0.00
2023,Tax Supported,Boards and Commissions,Fort Edmonton Park,Fort Edmonton Park,Intra-municipal Charges,Expense,327000.00
2023,Tax Supported,Boards and Commissions,Fort Edmonton Park,Fort Edmonton Park,"Materials, Goods, and Supplies",Expense,793000.00
2023,Tax Supported,Boards and Commissions,Fort Edmonton Park,Fort Edmonton Park,Personnel,Expense,3756000.00
2023,Tax Supported,Boards and Commissions,Fort Edmonton Park,Fort Edmonton Park,Transfer to Reserves,Expense,5000.00
2023,Tax Supported,Boards and Commissions,Fort Edmonton Park,Fort Edmonton Park,Utilities and Other Charges,Expense,938000.00
2023,Tax Supported,Boards and Commissions,Greater Edmonton Foundation,Greater Edmonton Foundation,Utilities and Other Charges,Expense,4900000.00
2023,Tax Supported,Boards and Commissions,Heritage Council,Heritage Council,Utilities and Other Charges,Expense,1709000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,Debt,Expense,440000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,External Services,Expense,1754000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,FTEs Only,Expense,0.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,"Materials, Goods, and Supplies",Expense,1810000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,Personnel,Expense,-9000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,Utilities and Other Charges,Expense,2825000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,External Services,Expense,241000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,FTEs Only,Expense,0.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,Intra-municipal Charges,Expense,40000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,"Materials, Goods, and Supplies",Expense,452000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,Personnel,Expense,156502000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,Utilities and Other Charges,Expense,168000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,External Services,Expense,2560000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,Fleet Services,Expense,2000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,FTEs Only,Expense,0.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,Intra-municipal Charges,Expense,-80000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,Intra-municipal Recoveries,Expense,-150000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,"Materials, Goods, and Supplies",Expense,174000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,Personnel,Expense,35031000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,Utilities and Other Charges,Expense,257000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,External Services,Expense,7041000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,Fleet Services,Expense,8197000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,FTEs Only,Expense,0.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,Intra-municipal Charges,Expense,13725000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,Intra-municipal Recoveries,Expense,-700000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,"Materials, Goods, and Supplies",Expense,2628000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,Personnel,Expense,36952000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,Transfer to Reserves,Expense,5985000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,Utilities and Other Charges,Expense,8063000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,External Services,Expense,5234000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,FTEs Only,Expense,0.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,Intra-municipal Charges,Expense,-658000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,"Materials, Goods, and Supplies",Expense,9671000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,Personnel,Expense,62473000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,Utilities and Other Charges,Expense,3709000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,External Services,Expense,9554000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,FTEs Only,Expense,0.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,Intra-municipal Charges,Expense,245000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,Intra-municipal Recoveries,Expense,-1249000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,"Materials, Goods, and Supplies",Expense,3506000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,Personnel,Expense,82335000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,Utilities and Other Charges,Expense,1251000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,External Services,Expense,2204000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,FTEs Only,Expense,0.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,Intra-municipal Charges,Expense,59000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,"Materials, Goods, and Supplies",Expense,254000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,Personnel,Expense,16719000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,Utilities and Other Charges,Expense,323000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,External Services,Expense,370000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,FTEs Only,Expense,0.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,Intra-municipal Charges,Expense,135000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,"Materials, Goods, and Supplies",Expense,5000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,Personnel,Expense,820000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,Utilities and Other Charges,Expense,105000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,Personnel,Expense,72000.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,FTEs Only,Expense,0.00
2023,Tax Supported,Boards and Commissions,Police Service,Police Service,Personnel,Expense,13674000.00
2023,Tax Supported,Boards and Commissions,Public Library,Public Library,External Services,Expense,3291000.00
2023,Tax Supported,Boards and Commissions,Public Library,Public Library,Fleet Services,Expense,125000.00
2023,Tax Supported,Boards and Commissions,Public Library,Public Library,FTEs Only,Expense,0.00
2023,Tax Supported,Boards and Commissions,Public Library,Public Library,Intra-municipal Charges,Expense,3746000.00
2023,Tax Supported,Boards and Commissions,Public Library,Public Library,"Materials, Goods, and Supplies",Expense,5613000.00
2023,Tax Supported,Boards and Commissions,Public Library,Public Library,Personnel,Expense,40910000.00
2023,Tax Supported,Boards and Commissions,Public Library,Public Library,Transfer to Reserves,Expense,7409000.00
2023,Tax Supported,Boards and Commissions,Public Library,Public Library,Utilities and Other Charges,Expense,3875000.00
2023,Tax Supported,Boards and Commissions,Reach Edmonton,Reach Edmonton,Utilities and Other Charges,Expense,5897000.00
2023,Tax Supported,Boards and Commissions,TELUS World of Science,TELUS World of Science,Utilities and Other Charges,Expense,2499000.00
2023,Tax Supported,City Auditor,Office of the City Auditor,CA/OCA - Office of the City Auditor,External Services,Expense,197000.00
2023,Tax Supported,City Auditor,Office of the City Auditor,CA/OCA - Office of the City Auditor,FTEs Only,Expense,0.00
2023,Tax Supported,City Auditor,Office of the City Auditor,CA/OCA - Office of the City Auditor,Intra-municipal Charges,Expense,19000.00
2023,Tax Supported,City Auditor,Office of the City Auditor,CA/OCA - Office of the City Auditor,"Materials, Goods, and Supplies",Expense,67000.00
2023,Tax Supported,City Auditor,Office of the City Auditor,CA/OCA - Office of the City Auditor,Personnel,Expense,2647000.00
2023,Tax Supported,City Auditor,Office of the City Auditor,CA/OCA - Office of the City Auditor,Utilities and Other Charges,Expense,65000.00
2023,Tax Supported,Communications and Engagement,Relationships and Customer Access,CE/RCA - 311/Inside Information,External Services,Expense,208000.00
2023,Tax Supported,Communications and Engagement,Relationships and Customer Access,CE/RCA - 311/Inside Information,FTEs Only,Expense,0.00
2023,Tax Supported,Communications and Engagement,Relationships and Customer Access,CE/RCA - 311/Inside Information,Intra-municipal Charges,Expense,130000.00
2023,Tax Supported,Communications and Engagement,Relationships and Customer Access,CE/RCA - 311/Inside Information,Intra-municipal Recoveries,Expense,-1802000.00
2023,Tax Supported,Communications and Engagement,Relationships and Customer Access,CE/RCA - 311/Inside Information,"Materials, Goods, and Supplies",Expense,545000.00
2023,Tax Supported,Communications and Engagement,Relationships and Customer Access,CE/RCA - 311/Inside Information,Personnel,Expense,14454000.00
2023,Tax Supported,Communications and Engagement,Relationships and Customer Access,CE/RCA - 311/Inside Information,Utilities and Other Charges,Expense,267000.00
2023,Tax Supported,Communications and Engagement,Relationships and Customer Access,CE/RCA - External Relations,External Services,Expense,39000.00
2023,Tax Supported,Communications and Engagement,Relationships and Customer Access,CE/RCA - External Relations,FTEs Only,Expense,0.00
2023,Tax Supported,Communications and Engagement,Relationships and Customer Access,CE/RCA - External Relations,Intra-municipal Charges,Expense,10000.00
2023,Tax Supported,Communications and Engagement,Relationships and Customer Access,CE/RCA - External Relations,Intra-municipal Recoveries,Expense,-143000.00
2023,Tax Supported,Communications and Engagement,Relationships and Customer Access,CE/RCA - External Relations,"Materials, Goods, and Supplies",Expense,52000.00
2023,Tax Supported,Communications and Engagement,Relationships and Customer Access,CE/RCA - External Relations,Personnel,Expense,1470000.00
2023,Tax Supported,Communications and Engagement,Relationships and Customer Access,CE/RCA - External Relations,Utilities and Other Charges,Expense,335000.00
2023,Tax Supported,Communications and Engagement,Relationships and Customer Access,CE/RCA - Intergovernmental Affairs,External Services,Expense,3000.00
2023,Tax Supported,Communications and Engagement,Relationships and Customer Access,CE/RCA - Intergovernmental Affairs,FTEs Only,Expense,0.00
2023,Tax Supported,Communications and Engagement,Relationships and Customer Access,CE/RCA - Intergovernmental Affairs,Intra-municipal Charges,Expense,17000.00
2023,Tax Supported,Communications and Engagement,Relationships and Customer Access,CE/RCA - Intergovernmental Affairs,Intra-municipal Recoveries,Expense,-75000.00
2023,Tax Supported,Communications and Engagement,Relationships and Customer Access,CE/RCA - Intergovernmental Affairs,Personnel,Expense,939000.00
2023,Tax Supported,Communications and Engagement,Relationships and Customer Access,CE/RCA - Intergovernmental Affairs,Utilities and Other Charges,Expense,23000.00
2023,Tax Supported,Communications and Engagement,Relationships and Customer Access,CE/RCA - Service Centre,External Services,Expense,319000.00
2023,Tax Supported,Communications and Engagement,Relationships and Customer Access,CE/RCA - Service Centre,FTEs Only,Expense,0.00
2023,Tax Supported,Communications and Engagement,Relationships and Customer Access,CE/RCA - Service Centre,Intra-municipal Charges,Expense,-80000.00
2023,Tax Supported,Communications and Engagement,Relationships and Customer Access,CE/RCA - Service Centre,Intra-municipal Recoveries,Expense,-14000.00
2023,Tax Supported,Communications and Engagement,Relationships and Customer Access,CE/RCA - Service Centre,"Materials, Goods, and Supplies",Expense,101000.00
2023,Tax Supported,Communications and Engagement,Relationships and Customer Access,CE/RCA - Service Centre,Personnel,Expense,2564000.00
2023,Tax Supported,Communications and Engagement,Relationships and Customer Access,CE/RCA - Service Centre,Utilities and Other Charges,Expense,44000.00
2023,Tax Supported,Communications and Engagement,Reputation and Brand,CE/RB - Brand Integration,External Services,Expense,1829000.00
2023,Tax Supported,Communications and Engagement,Reputation and Brand,CE/RB - Brand Integration,Fleet Services,Expense,1000.00
2023,Tax Supported,Communications and Engagement,Reputation and Brand,CE/RB - Brand Integration,FTEs Only,Expense,0.00
2023,Tax Supported,Communications and Engagement,Reputation and Brand,CE/RB - Brand Integration,Intra-municipal Recoveries,Expense,-573000.00
2023,Tax Supported,Communications and Engagement,Reputation and Brand,CE/RB - Brand Integration,"Materials, Goods, and Supplies",Expense,109000.00
2023,Tax Supported,Communications and Engagement,Reputation and Brand,CE/RB - Brand Integration,Personnel,Expense,3526000.00
2023,Tax Supported,Communications and Engagement,Reputation and Brand,CE/RB - Brand Integration,Utilities and Other Charges,Expense,8000.00
2023,Tax Supported,Communications and Engagement,Reputation and Brand,CE/RB - Reputation,External Services,Expense,163000.00
2023,Tax Supported,Communications and Engagement,Reputation and Brand,CE/RB - Reputation,FTEs Only,Expense,0.00
2023,Tax Supported,Communications and Engagement,Reputation and Brand,CE/RB - Reputation,Intra-municipal Charges,Expense,39000.00
2023,Tax Supported,Communications and Engagement,Reputation and Brand,CE/RB - Reputation,Intra-municipal Recoveries,Expense,-590000.00
2023,Tax Supported,Communications and Engagement,Reputation and Brand,CE/RB - Reputation,"Materials, Goods, and Supplies",Expense,41000.00
2023,Tax Supported,Communications and Engagement,Reputation and Brand,CE/RB - Reputation,Personnel,Expense,2194000.00
2023,Tax Supported,Communications and Engagement,Reputation and Brand,CE/RB - Reputation,Utilities and Other Charges,Expense,56000.00
2023,Tax Supported,Communications and Engagement,"Research, Engagement and Communications",CE/REC - Communications,External Services,Expense,272000.00
2023,Tax Supported,Communications and Engagement,"Research, Engagement and Communications",CE/REC - Communications,FTEs Only,Expense,0.00
2023,Tax Supported,Communications and Engagement,"Research, Engagement and Communications",CE/REC - Communications,Intra-municipal Charges,Expense,95000.00
2023,Tax Supported,Communications and Engagement,"Research, Engagement and Communications",CE/REC - Communications,Intra-municipal Recoveries,Expense,-3236000.00
2023,Tax Supported,Communications and Engagement,"Research, Engagement and Communications",CE/REC - Communications,"Materials, Goods, and Supplies",Expense,149000.00
2023,Tax Supported,Communications and Engagement,"Research, Engagement and Communications",CE/REC - Communications,Personnel,Expense,9324000.00
2023,Tax Supported,Communications and Engagement,"Research, Engagement and Communications",CE/REC - Communications,Utilities and Other Charges,Expense,42000.00
2023,Tax Supported,Communications and Engagement,"Research, Engagement and Communications",CE/REC - Public Engagement,External Services,Expense,145000.00
2023,Tax Supported,Communications and Engagement,"Research, Engagement and Communications",CE/REC - Public Engagement,FTEs Only,Expense,0.00
2023,Tax Supported,Communications and Engagement,"Research, Engagement and Communications",CE/REC - Public Engagement,Intra-municipal Recoveries,Expense,-1017000.00
2023,Tax Supported,Communications and Engagement,"Research, Engagement and Communications",CE/REC - Public Engagement,"Materials, Goods, and Supplies",Expense,4000.00
2023,Tax Supported,Communications and Engagement,"Research, Engagement and Communications",CE/REC - Public Engagement,Personnel,Expense,2518000.00
2023,Tax Supported,Communications and Engagement,"Research, Engagement and Communications",CE/REC - Public Engagement,Utilities and Other Charges,Expense,6000.00
2023,Tax Supported,City Manager,City Manager,CM/CM - City Manager,External Services,Expense,2584000.00
2023,Tax Supported,City Manager,City Manager,CM/CM - City Manager,FTEs Only,Expense,0.00
2023,Tax Supported,City Manager,City Manager,CM/CM - City Manager,Intra-municipal Charges,Expense,45000.00
2023,Tax Supported,City Manager,City Manager,CM/CM - City Manager,"Materials, Goods, and Supplies",Expense,8000.00
2023,Tax Supported,City Manager,City Manager,CM/CM - City Manager,Personnel,Expense,2541000.00
2023,Tax Supported,City Manager,City Manager,CM/CM - City Manager,Utilities and Other Charges,Expense,634000.00
2023,Tax Supported,City Manager,Fire Rescue Services,CM/FRS - Fire Rescue Operations,External Services,Expense,203000.00
2023,Tax Supported,City Manager,Fire Rescue Services,CM/FRS - Fire Rescue Operations,FTEs Only,Expense,0.00
2023,Tax Supported,City Manager,Fire Rescue Services,CM/FRS - Fire Rescue Operations,Intra-municipal Charges,Expense,99000.00
2023,Tax Supported,City Manager,Fire Rescue Services,CM/FRS - Fire Rescue Operations,"Materials, Goods, and Supplies",Expense,1509000.00
2023,Tax Supported,City Manager,Fire Rescue Services,CM/FRS - Fire Rescue Operations,Personnel,Expense,167359000.00
2023,Tax Supported,City Manager,Fire Rescue Services,CM/FRS - Fire Rescue Operations,Utilities and Other Charges,Expense,245000.00
2023,Tax Supported,City Manager,Fire Rescue Services,CM/FRS - Planning and Office of Emergency Management,External Services,Expense,66000.00
2023,Tax Supported,City Manager,Fire Rescue Services,CM/FRS - Planning and Office of Emergency Management,FTEs Only,Expense,0.00
2023,Tax Supported,City Manager,Fire Rescue Services,CM/FRS - Planning and Office of Emergency Management,Intra-municipal Charges,Expense,6000.00
2023,Tax Supported,City Manager,Fire Rescue Services,CM/FRS - Planning and Office of Emergency Management,"Materials, Goods, and Supplies",Expense,63000.00
